,X.1,X,site.name,X1,mean_aqi_2015_from2.5,mean_pm2.5_2015_from2.5,n.obs_2015_from2.5,mean_aqi_2015_from10,mean_pm10_2015_from10,n.obs_2015_from10,mean_aqi_2016_from2.5,mean_pm2.5_2016_from2.5,n.obs_2016_from2.5,mean_aqi_2016_from10,mean_pm10_2016_from10,n.obs_2016_from10,mean_aqi_2017_from2.5,mean_pm2.5_2017_from2.5,n.obs_2017_from2.5,mean_aqi_2017_from10,mean_pm10_2017_from10,n.obs_2017_from10,mean_aqi_2018_from2.5,mean_pm2.5_2018_from2.5,n.obs_2018_from2.5,mean_aqi_2018_from10,mean_pm10_2018_from10,n.obs_2018_from10,mean_aqi_2019_from2.5,mean_pm2.5_2019_from2.5,n.obs_2019_from2.5,mean_aqi_2019_from10,mean_pm10_2019_from10,n.obs_2019_from10,mean_aqi_2020_from2.5,mean_pm2.5_2020_from2.5,n.obs_2020_from2.5,mean_aqi_2020_from10,mean_pm10_2020_from10,n.obs_2020_from10,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,pop_density,mean_pm2.5_2021_from2.5
19,19,19,Leech Lake Nation:,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.996875,6.4634375,320,NA,NA,NA,17.02,4.153142857,350,NA,NA,NA,18.22898551,4.399710145,345,NA,NA,NA,35,584707.2,110.74,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,511107.044,96.82126913,21071,10.05270671,13.34615385
20,20,20,Lowry Avenue,20,NA,NA,NA,30.21568627,34.83753501,357,NA,NA,NA,27.29781421,30.96721311,366,NA,NA,NA,24.10989011,26.91208791,364,NA,NA,NA,23.88957055,26.4601227,326,NA,NA,NA,20.47658402,22.36639118,363,NA,NA,NA,21.22033898,23.23446328,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,5558.176923,NA
21,21,21,Lyndale Neighborhood,21,47.60227273,12.225,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35W,698.1,0.132215909,Hennepin County Energy Center,Y,Natural gas,10654.61847,2.018351527,27418,10377.9566,NA
22,22,22,Michigan Street,22,25.60326087,6.361956522,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,205.44,0.038909091,Duluth Steam Plant 1,Y,Coal,7299.547894,1.38278566,26079,2814.632594,NA
23,23,23,Near Road I-35,23,28.77222222,7.101666667,360,NA,NA,NA,22.99719101,5.632022472,356,NA,NA,NA,25.05915493,6.082535211,355,NA,NA,NA,30.06460674,7.383988764,356,NA,NA,NA,28.24581006,6.998044693,358,NA,NA,NA,28.82739726,7.025479452,365,NA,NA,NA,35,130.85,0.024782197,Xcel Energy - Blue Lake,Y,Diesel/Natural gas,46701.29154,8.846832322,53808,1465.284691,8.837604457
24,24,24,Near Road I-35/I-94,24,33.975,8.405,360,NA,NA,NA,31.57063712,7.842382271,361,NA,NA,NA,31.34357542,7.675418994,358,NA,NA,NA,27.26944444,6.788888889,360,NA,NA,NA,31.48843931,7.896531792,346,NA,NA,NA,29.47802198,7.267032967,364,NA,NA,NA,94,111.08,0.021037879,Hennepin County Energy Center,Y,Natural gas,2628.157165,0.497863442,14457,12183.40102,8.533333333
25,25,25,North Shore Mining Industrial Site NM18,25,NA,NA,NA,12.74576271,13.84745763,59,NA,NA,NA,9.344262295,10.09836066,61,NA,NA,NA,11.2295082,12.14754098,61,NA,NA,NA,14.98275862,16.32758621,58,NA,NA,NA,10.26666667,11.26666667,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,26,North Shore Mining Industrial Site NM19; replaces NM10,26,NA,NA,NA,15.80168776,17.17510549,474,NA,NA,NA,10.49272349,11.47401247,481,NA,NA,NA,14.79218107,16.26337449,486,NA,NA,NA,18.4371134,20.40618557,485,NA,NA,NA,11.50833333,12.9,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,27,North Shore Mining Industrial Site NM7,27,NA,NA,NA,10.86666667,11.75,60,NA,NA,NA,7.819672131,8.426229508,61,NA,NA,NA,10.78333333,11.7,60,NA,NA,NA,13.3220339,14.54237288,59,NA,NA,NA,9.333333333,10.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,28,Oneota Street,28,NA,NA,NA,21.9826087,23.9826087,115,NA,NA,NA,19.54700855,21.29059829,117,NA,NA,NA,21.73275862,23.73275862,116,NA,NA,NA,25.18333333,28.38333333,120,NA,NA,NA,23.85454545,26.77272727,110,NA,NA,NA,21.55813953,23.58139535,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
