,X.1,X,site.name,ID,PM2.5_2015,AQI_2015,N_2015,PM2.5_2016,AQI_2016,N_2016,PM2.5_2017,AQI_2017,N_2017,PM2.5_2018,AQI_2018,N_2018,PM2.5_2019,AQI_2019,N_2019,Season,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,PM2.5_2020,AQI_2020,N_2020,PM2.5_2021,AQI_2021,N_2021
68,68,68,Lyndale Neighborhood,Lyndale Neighborhood_Spring,10.2,41.83333333,12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Spring,35W,698.1,0.132215909,Hennepin County Energy Center,Y,Natural gas,10654.61847,2.018351527,27418,NA,NA,NA,NA,NA,NA
69,69,69,Lyndale Neighborhood,Lyndale Neighborhood_Summer,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Summer,35W,698.1,0.132215909,Hennepin County Energy Center,Y,Natural gas,10654.61847,2.018351527,27418,NA,NA,NA,NA,NA,NA
70,70,70,Lyndale Neighborhood,Lyndale Neighborhood_Winter,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Winter,35W,698.1,0.132215909,Hennepin County Energy Center,Y,Natural gas,10654.61847,2.018351527,27418,NA,NA,NA,NA,NA,NA
71,71,71,Michigan Street,Michigan Street_Fall,5.17,21.38888889,90,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Fall,35,205.44,0.038909091,Duluth Steam Plant 1,Y,Coal,7299.547894,1.38278566,26079,NA,NA,NA,NA,NA,NA
72,72,72,Michigan Street,Michigan Street_Spring,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Spring,35,205.44,0.038909091,Duluth Steam Plant 1,Y,Coal,7299.547894,1.38278566,26079,NA,NA,NA,NA,NA,NA
73,73,73,Michigan Street,Michigan Street_Summer,7.8,30.6626506,83,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Summer,35,205.44,0.038909091,Duluth Steam Plant 1,Y,Coal,7299.547894,1.38278566,26079,NA,NA,NA,NA,NA,NA
74,74,74,Michigan Street,Michigan Street_Winter,5.263636364,21.90909091,11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Winter,35,205.44,0.038909091,Duluth Steam Plant 1,Y,Coal,7299.547894,1.38278566,26079,NA,NA,NA,NA,NA,NA
75,75,75,Near Road I-35,Near Road I-35_Fall,5.914444444,24.38888889,90,5.873809524,24.55952381,84,5.602439024,23.30487805,82,7.68372093,30.34883721,86,5.307777778,21.57777778,90,Fall,35,130.85,0.024782197,Xcel Energy - Blue Lake,Y,Diesel/Natural gas,46701.29154,8.846832322,53808,8.211111111,33.47777778,90,6.308139535,26.08139535,86
76,76,76,Near Road I-35,Near Road I-35_Spring,6.091780822,25.39726027,73,5.556164384,22.09589041,73,5.095890411,21.19178082,73,6.415068493,26.80821918,73,5.868055556,24.30555556,72,Spring,35,130.85,0.024782197,Xcel Energy - Blue Lake,Y,Diesel/Natural gas,46701.29154,8.846832322,53808,5.89673913,24.55434783,92,6.923913043,28.60869565,92
77,77,77,Near Road I-35,Near Road I-35_Summer,8.049074074,32.05555556,108,4.596330275,19.21100917,109,5.977876106,24.4159292,113,7.200925926,29.43518519,108,6.281308411,25.80373832,107,Summer,35,130.85,0.024782197,Xcel Energy - Blue Lake,Y,Diesel/Natural gas,46701.29154,8.846832322,53808,6.868181818,28.07954545,88,11.13695652,40.44565217,92
